GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn-Through,Good,Off Position,Other,Presence,Skip-Discontinuity,Splatter,Surface Porosity,Under Cut,Weld Length,CL_ConfMax,CL_ConfMargin,Row1,Col1,Row2,Col2,OD1_ClassID,OD1_Conf,OD1_Cx,OD1_Cy,OD1_W,OD1_H
Good,0.380161,962,0.380161,3,0.947493,0.048672,0.003762,5e-05,1.9e-05,2e-06,1e-06,0.0,0.0,0.0,0.947493,0.898821,96.054138,91.51963,273.355316,175.810791,1.0,0.867711,133.665211,184.704727,84.291161,177.301178
Good,0.650221,4244,0.650221,2,0.968688,0.03045,0.00086,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.968688,0.938238,95.806396,85.208939,276.524414,174.130081,1.0,0.641114,129.66951,186.165405,88.921143,180.718018
Good,0.320461,231,0.320461,1,0.875315,0.100232,0.023474,0.000971,3e-06,2e-06,2e-06,0.0,0.0,0.0,0.875315,0.775083,96.801636,90.49794,275.293213,176.08168,1.0,0.803457,133.28981,186.047424,85.58374,178.491577
Good,0.176436,0,0.0,1,0.999899,8.8e-05,1.2e-05,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.999899,0.999811,100.561272,100.622849,273.892487,175.566452,1.0,0.772297,138.09465,187.226879,74.943604,173.331215
Good,0.298934,110,0.298934,2,0.501737,0.466964,0.029388,0.00172,0.000125,4.3e-05,2e-05,2e-06,1e-06,0.0,0.501737,0.034773,100.405113,98.063889,279.141083,172.82341,1.0,0.887688,135.443649,189.773098,74.759521,178.73597
Good,0.340304,307,0.340304,2,0.808993,0.185138,0.00519,0.000635,3.3e-05,8e-06,1e-06,1e-06,0.0,0.0,0.808993,0.623855,101.750633,93.245285,284.137329,170.445663,1.0,0.742811,131.845474,192.943981,77.200378,182.386696
Good,0.280702,135,0.280702,1,0.991862,0.008053,8.4e-05,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.991862,0.98381,99.302361,98.370499,274.535522,173.226639,1.0,0.797595,135.798569,186.918941,74.85614,175.233162
Good,0.259601,27,0.259601,2,0.999884,0.000106,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999884,0.999778,100.463829,95.660553,284.018311,168.796844,1.0,0.766083,132.228699,192.24107,73.136292,183.554482
Good,0.258523,21,0.258523,1,0.99983,0.000151,1.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99983,0.999679,94.978767,89.502991,275.804199,177.565186,1.0,0.831593,133.534088,185.391483,88.062195,180.825432
Good,0.316423,252,0.316423,2,0.965223,0.033836,0.000932,5e-06,4e-06,0.0,0.0,0.0,0.0,0.0,0.965223,0.931387,98.624435,98.120674,278.129517,173.858154,1.0,0.833401,135.989414,188.376976,75.73748,179.505081
Good,0.320916,191,0.320916,2,0.999991,7e-06,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999991,0.999984,102.743393,95.348251,279.611816,170.725815,1.0,0.759308,133.037033,191.177605,75.377563,176.868423
Good,0.260722,6,0.260722,1,0.997883,0.001537,0.000579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997883,0.996346,101.459946,95.952171,283.546936,169.980103,1.0,0.854129,132.966137,192.503441,74.027931,182.08699
Good,0.182999,0,0.0,1,0.974779,0.019787,0.004021,0.001337,7.2e-05,3e-06,0.0,0.0,0.0,0.0,0.974779,0.954991,100.985184,98.648514,279.982666,172.313126,1.0,0.87086,135.48082,190.483925,73.664612,178.997482
Good,0.22653,0,0.0,1,0.944394,0.050615,0.004082,0.000592,0.000315,2e-06,0.0,0.0,0.0,0.0,0.944394,0.893779,100.205627,100.098534,280.49646,174.889679,1.0,0.712406,137.494106,190.351044,74.791145,180.290833
Good,0.286165,45,0.286165,1,0.793199,0.145515,0.053505,0.006961,0.000781,2.4e-05,1.1e-05,3e-06,0.0,0.0,0.793199,0.647684,100.03418,100.126404,276.590088,172.859833,1.0,0.79748,136.493118,188.312134,72.733429,176.555908
Good,0.308477,70,0.308477,1,0.999221,0.000391,0.000247,0.000138,2e-06,0.0,0.0,0.0,0.0,0.0,0.999221,0.99883,99.316856,100.268372,274.941406,170.830475,1.0,0.850897,135.549423,187.129131,70.562103,175.62455
Good,0.203474,0,0.0,1,0.516725,0.451638,0.031373,0.000163,0.0001,0.0,0.0,0.0,0.0,0.0,0.516725,0.065087,100.598129,99.715843,283.9646,175.323029,1.0,0.897832,137.519436,192.281364,75.607185,183.36647
Good,0.244166,0,0.0,1,0.67581,0.28819,0.033082,0.002712,0.000204,1e-06,1e-06,0.0,0.0,0.0,0.67581,0.38762,97.585541,99.248932,283.820587,179.671967,1.0,0.811773,139.460449,190.703064,80.423035,186.235046
Good,0.139513,0,0.0,1,0.999733,0.000219,4.2e-05,5e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.999733,0.999515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Good,0.24951,0,0.0,1,0.856676,0.137343,0.004133,0.001818,3.1e-05,0.0,0.0,0.0,0.0,0.0,0.856676,0.719333,106.27816,94.670792,275.368958,177.9384,1.0,0.679701,136.304596,190.823559,83.267609,169.090797
Good,0.525964,2971,0.525964,3,0.957172,0.042724,8e-05,2e-05,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.957172,0.914448,96.695885,89.5271,283.772552,172.637909,1.0,0.545216,131.082504,190.234219,83.110809,187.076668
Good,0.490998,868,0.490998,4,0.666247,0.229266,0.068226,0.034505,0.00163,6.9e-05,5.6e-05,1e-06,1e-06,0.0,0.666247,0.436981,97.434036,90.176414,275.928406,180.305847,1.0,0.673069,135.241131,186.681221,90.129433,178.49437
Good,0.417505,1327,0.417505,2,0.807902,0.190142,0.001923,3e-05,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.807902,0.617761,102.028496,92.547005,283.025391,170.309296,1.0,0.737611,131.42815,192.526943,77.762291,180.996895
Good,0.704912,4058,0.704912,4,0.712386,0.278951,0.00505,0.003197,0.000388,1.3e-05,1.3e-05,1e-06,0.0,0.0,0.712386,0.433435,100.800362,81.001007,287.965332,175.84259,3.0,0.58171,128.421799,194.382847,94.841583,187.16497
Good,0.417843,1485,0.417843,2,0.769229,0.201518,0.029161,6.4e-05,2.2e-05,4e-06,1e-06,0.0,0.0,0.0,0.769229,0.567711,101.545303,86.892563,279.146606,177.731857,1.0,0.71899,132.31221,190.345955,90.839294,177.601303
Good,0.609848,3388,0.609848,6,0.673044,0.249363,0.077391,0.000191,8e-06,2e-06,1e-06,0.0,0.0,0.0,0.673044,0.423681,91.869736,100.273071,266.107666,198.265228,1.0,0.734351,149.26915,178.988701,97.992157,174.23793
Good,0.603476,4262,0.603476,5,0.795207,0.187034,0.017619,0.00011,2.6e-05,3e-06,0.0,0.0,0.0,0.0,0.795207,0.608173,91.067589,102.471092,257.281189,191.402466,1.0,0.768019,146.936779,174.174389,88.931374,166.2136
Good,0.639252,5436,0.639252,8,0.758145,0.236177,0.005657,1.8e-05,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.758145,0.521968,99.96376,105.821846,259.286438,190.09845,1.0,0.737136,147.960148,179.625099,84.276604,159.322678
Good,0.586269,6892,0.586269,5,0.751981,0.243522,0.004432,4.4e-05,1.6e-05,5e-06,0.0,0.0,0.0,0.0,0.751981,0.508459,94.779083,106.956268,256.648743,193.388,1.0,0.76304,150.172134,175.713913,86.431732,161.869659
Good,0.577832,6186,0.577832,11,0.712498,0.18679,0.100405,0.000231,6.5e-05,6e-06,2e-06,2e-06,0.0,0.0,0.712498,0.525708,94.47937,107.527176,253.65155,182.563278,1.0,0.699726,145.045227,174.06546,75.036102,159.17218
Good,0.659511,6101,0.659511,6,0.792833,0.153496,0.050708,0.002878,6.3e-05,1.2e-05,9e-06,1e-06,0.0,0.0,0.792833,0.639336,95.255585,104.301186,260.320587,191.116272,1.0,0.704271,147.708729,177.788086,86.815086,165.065002
Good,0.503654,2905,0.503654,4,0.83304,0.142751,0.024194,1e-05,5e-06,0.0,0.0,0.0,0.0,0.0,0.83304,0.690289,93.572685,106.803848,249.27713,189.147263,1.0,0.563317,147.975555,171.424908,82.343414,155.704445
Good,0.622346,3899,0.622346,11,0.577396,0.392404,0.026706,0.003239,0.000213,2.6e-05,1.1e-05,3e-06,1e-06,0.0,0.577396,0.184993,95.997681,105.299057,262.942627,196.146347,1.0,0.813748,150.722702,179.470154,90.84729,166.944946
Good,0.61536,4145,0.61536,7,0.82864,0.169352,0.001955,3e-05,2.2e-05,1e-06,0.0,0.0,0.0,0.0,0.82864,0.659288,94.971497,108.185471,251.935455,183.661057,1.0,0.653297,145.923264,173.453476,75.475586,156.963959
Good,0.734833,4805,0.734833,7,0.993094,0.006555,0.00035,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.993094,0.986538,93.868965,106.094894,263.078461,199.096176,1.0,0.772813,152.595535,178.473713,93.001282,169.209496
Good,0.609811,6331,0.609811,7,0.751748,0.145601,0.102208,0.000425,6e-06,5e-06,5e-06,1e-06,0.0,0.0,0.751748,0.606147,86.047363,99.810287,262.68515,203.657669,1.0,0.787557,151.733978,174.366257,103.847382,176.637787
Good,0.621158,4342,0.621158,5,0.924148,0.07076,0.005082,5e-06,2e-06,2e-06,1e-06,0.0,0.0,0.0,0.924148,0.853388,95.838982,107.789948,258.162781,192.36145,1.0,0.723853,150.075699,177.000881,84.571503,162.323799
Good,0.533482,1839,0.533482,8,0.840858,0.104637,0.030317,0.017444,0.006692,4.6e-05,2e-06,2e-06,2e-06,0.0,0.840858,0.736221,85.402084,105.990234,268.664978,200.037048,1.0,0.850241,153.013641,177.033531,94.046814,183.262894
Good,0.491614,2899,0.491614,10,0.310781,0.296177,0.168546,0.128199,0.095729,0.000247,0.000156,0.000131,3.3e-05,0.0,0.310781,0.014604,83.654404,102.411377,274.768066,200.163879,1.0,0.741998,151.287628,179.211235,97.752502,191.113663
Good,0.530317,3518,0.530317,6,0.772845,0.124313,0.075858,0.023871,0.002989,0.000101,1.1e-05,9e-06,2e-06,0.0,0.772845,0.648532,88.487846,104.037704,273.693512,201.160843,1.0,0.812228,152.599274,181.090679,97.123138,185.205666
Good,0.593423,3379,0.593423,8,0.362219,0.35468,0.198834,0.076288,0.007666,0.000311,0.0,0.0,0.0,0.0,0.362219,0.007539,85.452797,106.193771,268.780518,199.981796,1.0,0.807043,153.087784,177.116657,93.788025,183.327721
Good,0.595751,4340,0.595751,5,0.945559,0.037382,0.015975,0.000837,0.000243,4e-06,0.0,0.0,0.0,0.0,0.945559,0.908177,93.11396,102.874878,272.19931,199.458038,1.0,0.846415,151.166458,182.656635,96.58316,179.08535
Good,0.637333,5360,0.637333,9,0.448527,0.299685,0.208938,0.025961,0.016266,0.000616,3e-06,3e-06,1e-06,0.0,0.448527,0.148841,89.499397,103.622574,273.117554,201.010818,1.0,0.840412,152.316696,181.308475,97.388245,183.618156
Good,0.54535,3796,0.54535,7,0.968538,0.029621,0.001655,9.3e-05,9.2e-05,1e-06,1e-06,0.0,0.0,0.0,0.968538,0.938917,91.946167,104.296799,274.367157,200.450302,1.0,0.862969,152.37355,183.156662,96.153503,182.42099
Good,0.558141,3692,0.558141,10,0.755569,0.241408,0.001037,0.000989,0.000933,6.2e-05,1e-06,1e-06,0.0,0.0,0.755569,0.514161,88.801865,105.682068,269.782776,201.473572,1.0,0.806296,153.57782,179.29232,95.791504,180.980911
Good,0.608153,4175,0.608153,6,0.981088,0.012847,0.003904,0.001083,0.001057,2e-05,1e-06,1e-06,0.0,0.0,0.981088,0.968241,93.04348,106.630493,268.689117,199.115814,1.0,0.859395,152.873154,180.866299,92.485321,175.645638
Good,0.618739,4307,0.618739,7,0.501859,0.178919,0.168853,0.149194,0.001069,7.6e-05,1.9e-05,7e-06,3e-06,0.0,0.501859,0.32294,88.799828,105.008942,271.814087,199.452515,1.0,0.879336,152.230728,180.306957,94.443573,183.014259
Good,0.514515,2636,0.514515,6,0.704768,0.288511,0.0026,0.002404,0.001633,7.5e-05,4e-06,3e-06,2e-06,0.0,0.704768,0.416257,88.01152,104.947357,274.257996,199.490173,1.0,0.769109,152.218765,181.134758,94.542816,186.246475
Good,0.523739,2852,0.523739,4,0.990562,0.009386,5.1e-05,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.990562,0.981176,99.71521,107.623856,249.734741,176.478378,1.0,0.533621,142.051117,174.724976,68.854523,150.019531
Good,0.528915,3805,0.528915,5,0.449263,0.284808,0.113198,0.100109,0.05198,0.000483,9.4e-05,4.2e-05,2.2e-05,0.0,0.449263,0.164454,85.179039,102.033844,273.690277,198.13916,1.0,0.718985,150.086502,179.434658,96.105316,188.511238
Good,0.526718,4632,0.526718,6,0.995309,0.003995,0.000694,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.995309,0.991315,93.749268,106.863457,249.320007,179.358673,1.0,0.685558,143.111065,171.534637,72.495216,155.57074
Good,0.508161,5167,0.508161,7,0.687965,0.293455,0.01777,0.000757,4.5e-05,5e-06,1e-06,1e-06,0.0,0.0,0.687965,0.39451,101.488106,107.097534,246.906158,174.216217,1.0,0.68946,140.656876,174.197132,67.118683,145.418053
