GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn Through,Good,Notching,Porosity,CL_ConfMax,CL_ConfMargin,Row1,Col1,Length1,Length2,PHI,OD1_ClassID,OD1_Conf
Good,0.790766,4304,0.790766,3,0.546275,0.327645,0.126032,4.8e-05,0.546275,0.21863,227.639954,284.985321,93.405891,102.040596,1.314545,0.0,0.999985
Good,0.789653,4276,0.789653,3,0.790064,0.175717,0.034204,1.5e-05,0.790064,0.614348,216.527542,268.28006,92.438812,103.5429,1.270594,0.0,0.999741
Good,0.791093,4283,0.791093,3,0.793359,0.182694,0.023938,9e-06,0.793359,0.610664,218.135681,268.761292,92.420799,103.772362,1.297768,0.0,0.999767
Good,0.735408,4535,0.735408,8,0.668047,0.31802,0.013925,8e-06,0.668047,0.350027,258.655579,279.575195,98.634537,101.629822,1.262952,0.0,0.999999
Good,0.768132,4475,0.768132,4,0.981095,0.015005,0.003888,1.1e-05,0.981095,0.96609,223.82901,286.307404,97.910507,104.182632,1.301064,0.0,0.999954
Good,0.738077,4419,0.738077,7,0.735634,0.262855,0.001506,5e-06,0.735634,0.472779,258.089905,293.355225,100.827301,105.091675,1.212942,0.0,0.999998
Good,0.791849,4280,0.791849,6,0.644505,0.280779,0.073936,0.000781,0.644505,0.363726,228.606659,268.101196,95.439659,105.309456,1.307578,0.0,0.999998
Good,0.727631,4970,0.727631,9,0.887874,0.109874,0.002252,0.0,0.887874,0.778,260.187408,297.937683,103.018921,101.442635,1.241323,0.0,0.999989
Good,0.732748,5006,0.732748,8,0.906441,0.091563,0.001994,1e-06,0.906441,0.814878,257.633484,299.082092,98.480125,100.995689,1.187358,0.0,0.999994
Good,0.790898,4180,0.790898,4,0.800869,0.157476,0.041643,1.2e-05,0.800869,0.643394,223.432236,267.771576,92.313904,101.910034,1.252533,0.0,0.999997
Good,0.800675,4371,0.800675,6,0.787001,0.204831,0.008168,0.0,0.787001,0.582169,222.199188,264.551117,97.625206,104.855064,1.281797,0.0,0.999962
Good,0.726688,5002,0.726688,9,0.853494,0.14257,0.003936,0.0,0.853494,0.710924,270.559784,300.797852,104.363617,100.598473,1.174067,0.0,0.999956
Good,0.726998,4682,0.726998,8,0.640686,0.357983,0.001329,2e-06,0.640686,0.282703,270.985565,295.792572,97.124237,101.7444,1.142701,0.0,0.999996
Good,0.787031,4488,0.787031,4,0.589402,0.238425,0.171967,0.000205,0.589402,0.350977,232.923401,268.05603,93.435265,101.241127,1.251271,0.0,0.999999
Good,0.850343,6167,0.850343,4,0.755429,0.216421,0.018205,0.009945,0.755429,0.539008,233.540466,269.501953,90.572166,99.392776,1.273918,0.0,0.999993
Good,0.720049,4846,0.720049,8,0.893001,0.104994,0.001976,2.8e-05,0.893001,0.788007,271.358185,293.034424,102.99659,100.233452,1.190094,0.0,0.999979
Good,0.717606,4821,0.717606,8,0.587162,0.384137,0.02855,0.000151,0.587162,0.203025,276.264069,299.181213,97.287033,101.146553,1.167401,0.0,0.999998
Good,0.800456,4319,0.800456,4,0.736486,0.211032,0.051975,0.000507,0.736486,0.525454,225.696304,265.438995,92.63533,106.218681,1.279846,0.0,0.999998
Good,0.504678,1900,0.504678,7,0.965428,0.032362,0.002207,2e-06,0.965428,0.933066,271.772369,299.745483,103.507545,102.133537,1.155882,0.0,0.999995
Good,0.499604,1898,0.499604,6,0.966426,0.031299,0.002272,2e-06,0.966426,0.935127,271.893463,300.004486,103.450432,101.911835,1.153648,0.0,0.999994
