GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn-Through,Good,Lack of Fusion,Off Position,Other,Presence,Skip-Discontinuity,Splatter,Surface Porosity,Weld Length,CL_ConfMax,CL_ConfMargin,Row1,Col1,Row2,Col2,OD1_ClassID,OD1_Conf,OD1_Cx,OD1_Cy,OD1_W,OD1_H
Good,1.231204,30112,1.231204,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,82.747589,122.273483,170.980255,198.605667,1.0,0.999667,160.439575,126.863922,76.332184,88.232666
Good,1.276989,27982,1.276989,3,0.945893,0.053829,0.000262,1.3e-05,3e-06,0.0,0.0,0.0,0.0,0.0,0.945893,0.892064,72.955338,59.229782,196.398331,207.179794,4.0,0.540139,133.204788,134.676834,147.950012,123.442993
Good,1.358828,27416,1.358828,6,0.9848,0.011301,0.003507,0.000392,0.0,0.0,0.0,0.0,0.0,0.0,0.9848,0.9735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Good,1.111974,30505,1.111974,3,0.999997,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999997,0.999994,101.428528,119.416656,170.923218,194.184875,1.0,0.965897,156.800766,136.175873,74.768219,69.49469
Good,1.068546,26390,1.068546,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,79.887184,118.992279,168.723083,194.362823,1.0,0.999833,156.677551,124.305134,75.370544,88.835899
Good,1.093897,29244,1.093897,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,81.467522,110.536484,173.197754,179.602066,1.0,0.998585,145.069275,127.332638,69.065582,91.730232
Good,1.014986,28602,1.014986,6,0.9994,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994,0.998799,93.978699,114.514847,172.696045,197.41301,1.0,0.999762,155.963928,133.337372,82.898163,78.717346
Good,1.112022,27992,1.112022,3,0.995253,0.004747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995253,0.990506,87.917007,112.449974,174.766129,204.419128,2.0,0.63243,158.434551,131.341568,91.969154,86.849121
Good,1.298624,31755,1.298624,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,90.668213,120.424789,173.212494,198.634323,8.0,0.800131,159.529556,131.940353,78.209534,82.544281
Good,1.003764,26098,1.003764,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,77.122894,96.830154,167.307755,180.472305,1.0,0.999856,138.65123,122.215324,83.642151,90.18486
Good,1.126171,22990,1.126171,4,0.999999,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999,0.999998,80.841064,100.057877,171.64621,173.269852,1.0,0.999461,136.663864,126.243637,73.211975,90.805145
Good,1.006058,24397,1.006058,5,1.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.999999,79.810471,105.092575,182.621506,197.273697,1.0,0.999821,151.183136,131.215988,92.181122,102.811035
