GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn-Through,Good,Lack of Fusion,Off Position,Other,Skip-Discontinuity,Splatter,Surface Porosity,Weld Length,CL_ConfMax,CL_ConfMargin,Row1,Col1,Row2,Col2,OD1_ClassID,OD1_Conf,OD1_Cx,OD1_Cy,OD1_W,OD1_H
Good,0.79689,15341,0.79689,24,0.873662,0.071304,0.042374,0.010577,0.00203,3.5e-05,1e-05,7e-06,0.0,0.873662,0.802358,106.683594,86.374802,160.069733,192.227982,1.0,0.772654,139.301392,133.376663,105.85318,53.386139
Good,0.618176,15884,0.618176,19,0.915595,0.061304,0.022137,0.000833,0.000127,3e-06,2e-06,0.0,0.0,0.915595,0.854291,104.877594,88.69442,154.053162,186.390381,1.0,0.808225,137.5424,129.465378,97.695961,49.175568
Good,0.913713,17909,0.913713,9,0.986458,0.012035,0.001398,5.8e-05,4.8e-05,1e-06,1e-06,1e-06,0.0,0.986458,0.974424,104.228355,86.576874,157.411331,197.086945,1.0,0.804111,141.831909,130.819843,110.510071,53.182976
Good,0.828361,19223,0.828361,7,0.998324,0.001637,2.1e-05,1.6e-05,2e-06,0.0,0.0,0.0,0.0,0.998324,0.996687,103.4981,85.825668,161.561264,186.241409,1.0,0.821807,136.033539,132.529682,100.415741,58.063164
Good,0.740936,17392,0.740936,7,0.985892,0.011459,0.002145,0.000401,0.000102,0.0,0.0,0.0,0.0,0.985892,0.974433,101.003357,90.067566,161.356567,187.572327,1.0,0.88639,138.819946,131.179962,97.504761,60.35321
Good,0.973129,18635,0.973129,10,0.9941,0.002367,0.00215,0.001179,0.000184,1.8e-05,2e-06,0.0,0.0,0.9941,0.991733,106.121628,86.528412,162.487442,183.97229,1.0,0.868098,135.250351,134.304535,97.443878,56.365814
Good,0.94873,22294,0.94873,5,0.686258,0.281035,0.011793,0.011084,0.007849,0.00198,1e-06,0.0,0.0,0.686258,0.405223,105.519753,85.16864,162.002075,183.144592,1.0,0.922513,134.156616,133.760914,97.975952,56.482323
Good,0.745144,17052,0.745144,11,0.933306,0.064698,0.001651,0.000257,8.1e-05,6e-06,0.0,0.0,0.0,0.933306,0.868608,106.016769,87.617554,162.070084,186.893127,1.0,0.899779,137.255341,134.043427,99.275574,56.053314
Good,0.83967,17566,0.83967,10,0.995275,0.003078,0.001023,0.000446,0.00016,1.4e-05,3e-06,0.0,0.0,0.995275,0.992198,104.908081,88.379089,161.197205,186.662262,1.0,0.738648,137.520676,133.052643,98.283173,56.289124
Good,0.693352,15485,0.693352,16,0.739741,0.179095,0.074503,0.004501,0.001553,0.0006,4e-06,2e-06,0.0,0.739741,0.560646,106.044792,87.413071,161.94046,184.986282,1.0,0.900687,136.199677,133.992626,97.573212,55.895668
Good,0.800061,14758,0.800061,9,0.997945,0.001043,0.000499,0.000414,8.9e-05,7e-06,3e-06,0.0,0.0,0.997945,0.996902,106.688095,89.566101,162.593246,186.35675,1.0,0.898925,137.961426,134.640671,96.790649,55.905151
Good,0.635108,13084,0.635108,24,0.786031,0.195086,0.015266,0.002685,0.000818,0.000108,5e-06,1e-06,0.0,0.786031,0.590944,106.690186,88.63002,161.516815,186.844193,1.0,0.769753,137.737106,134.1035,98.214172,54.82663
