model_name,split,threshold_type,accuracy,precision,recall,cost,threshold,total_samples
kfold_avg_XGBoost,Full,cost,97.88596513835554,48.08212560386474,84.28571428571429,45.0,0.45,482.4
kfold_avg_XGBoost,Full,accuracy,98.96334286917003,71.11111111111111,64.28571428571429,86.2,0.8700000000000001,482.40000000000003
kfold_avg_RandomForest,Full,cost,98.05279932647784,64.91542603737726,86.78571428571429,38.4,0.43,482.4
kfold_avg_RandomForest,Full,accuracy,99.29520716820014,83.01298701298701,73.92857142857143,61.4,0.5400000000000001,482.4
kfold_avg_AD,Full,cost,83.4557528586033,6.997567889339573,76.07142857142857,132.0,0.30000000000000004,482.40000000000003
kfold_avg_AD,Full,accuracy,91.45838165683014,1.617224880382775,11.071428571428571,238.4,0.55,482.4
kfold_avg_CL,Full,cost,98.09283265895209,20.666666666666668,10.357142857142858,206.4,1.0,482.4
kfold_avg_CL,Full,accuracy,98.09283265895209,20.666666666666668,10.357142857142858,206.4,1.0,482.4
AD_Decision,Full,base,31.550580431177448,2.0796197266785503,92.10526315789474,1738.0,,2412.0
CL_Decision,Full,base,86.27694859038142,7.038123167155425,63.1578947368421,737.0,,2412.0
AD_or_CL_Fail,Full,base,31.34328358208955,2.0734597156398102,92.10526315789474,1743.0,,2412.0
